lang_loading_game    ="Menunggu"
lang_piggy_info2_not_enough    ="Menang level dan dapatkan <rgb = 49,138,0> @num@G </rgb> dari setiap level untuk Celengan!"
lang_piggy_info2_enough    ="Jika segera butuh G,\nkamu bisa Beli Celengan dan buka langsung!"
lang_piggy_info2_full    ="Sudah kepenuhan G,\nBeli Celengan dan buka!"
lang_piggy_buy    ="Beli @prc@"
lang_piggy_buy_failed    ="Eror Data!"
lang_thankiu_comment    ="Terima kasih atas kemasukan kamu"
lang_day    ="hari"
lang_login_error    =""
lang_cannot_connect    =""
lang_buy_failed    =""
NOTI_TILE_1    ="Update dengan level baru!"
NOTI_TILE_2    ="Kita belum saling melihat selama 7 hari!"
NOTI_TILE_3    ="Kamu baru dapat hadiah!"
NOTI_TILE_4    ="Buka celengannya!"
NOTI_TILE_5    ="Promosi kadaluarsa!"
NOTI_TILE_6    ="Event "Hegemoni Langit" dimulai!"
NOTI_TILE_7    ="Event "Hegemoni Langit" berakhir!"
NOTI_TILE_8    ="Event "Raja Eksplorasi" dimulai!"
NOTI_TILE_9    ="Event "Raja Eksplorasi" berakhir!"
NOTI_TILE_10    =""Tantangan Cari Permata" dimulai!"
NOTI_TILE_11    ="Hati penuh!"
NOTI_TILE_12    ="Kamu dapat 1 hati dari Squadron!"
NOTI_TILE_13    ="Kamu dapat 1 kartu dari Squadron!"
NOTI_TILE_14    ="Ayo berpetualang!"
NOTI_TILE_15    =""
NOTI_DES_1_1    ="Catventure telah update dengan level baru, ayo mainkan"
NOTI_DES_1_2    ="Sudah 7 hari dan kamu belum balik berpetualang, Keju si Kucing rindu kamu!"
NOTI_DES_1_3    ="Kamu dapat kado rahasia, ayo buka dan lihat isinya"
NOTI_DES_1_4    ="Celengan kamu penuh hadiah, ayo buka."
NOTI_DES_1_5    ="Paket promosi "Mulai Petualangan" telah kadaluarsa, ayo lihat isinya."
NOTI_DES_1_6    ="Event "Hegemoni Langit" dimulai, ayo lawan pemain lain!"
NOTI_DES_1_7    ="Event "Hegemoni Langit" berakhir, datanglah dan ambil hadiah kamu."
NOTI_DES_1_8    ="Event "Raja Eksplorasi" dimulai, ayo balapan sekarang."
NOTI_DES_1_9    ="Event "Raja Eksplorasi" berakhir, kamu ada 1 hadiah untuk diambil."
NOTI_DES_1_10    =""Tantangan Cari Permata" dimulai. Siap memulai tantangan ini?"
NOTI_DES_1_11    ="Hati penuh, ayo menjelajah dengan Keju si Kucing."
NOTI_DES_1_12    ="Karmu dapat 1 hati dari Squadron kamu, ayo ambil sekarang."
NOTI_DES_1_13    ="Squadron kamu kasih kartu baru, tunggu apa? Ayo ambil sekarang!"
NOTI_DES_1_14    ="Kamu ada misi belum selesai, ayo selesaikan dan ambil hadiah."
NOTI_DES_1_15    ="Kamu belum masuk game untuk sehari, datang kemari dan main bareng Keju."
NOTI_DES_2_1    ="Level baru diupdate. Coba sekarang!"
NOTI_DES_2_4    ="Ayo buka celengan kamu, pasti banyak hadiah didalam./"
NOTI_DES_2_5    ="Ada banyak hal di paket promosi "Mulai Petualangan", ayo lihat apa isinya"
NOTI_DES_2_11    ="Kamu ada 5 hati, ayo berpetualang."
test    =""
# On Boarding    =""
lang_onboarding_text_1    ="London, Abad ke-18
,,,,,,
Masa keemasan sains dan teknologi"
lang_onboarding_text_2    ="Teknologi baru membantu Kerajaan Kucing mencapai ketinggian yang belum pernah terlihat sebelumnya..."
lang_onboarding_text_3    ="...Akan tetapi, apa yang terjadi jika penemuan baru ini disalahgunakan?"
lang_onboarding_text_4    ="Sama seperti setiap cerita, ketika orang jahat mengamuk, pahlawan akan muncul..."
lang_onboarding_text_5    ="Dalam cerita ini, ini adalah duo kakek-cucu pecinta sains, Mac & Cheese"
lang_onboarding_text_6    ="Sepanjang jalan, mereka akan berjalan ke banyak tempat untuk melawan penjahat. Tapi semuanya dimulai di kota kecil Calico..."
lang_onboarding_text_7    ="Aaa, Calico sayang, betapa aku merindukan lab kecilku...\"
lang_onboarding_text_8    ="...Maksudmu kamarmu yang berantakan penuh dengan hal-hal aneh?"
lang_onboarding_text_9    ="Hmm, ini adalah tempat yang aku sebut rumah…"
lang_onboarding_text_10    ="Lalu... Lalu apa?"
lang_onboarding_text_11    ="Aku baru ingat ada kejadian sehingga aku tidak bisa menjemputmu di stasiun.."
lang_onboarding_text_12    ="Bagaimana kalau kamu mengingat dengan teka-teki?"
lang_onboarding_text_13    ="Ketuk slot untuk buka foto disini."
lang_onboarding_text_14    ="Kamu butuh bintang untuk melihat foto. Kamu dapat Bintang saat menang level."
lang_onboarding_text_15    ="Benar! Saya di halaman mencoba penemuan baru saya!"
lang_onboarding_text_16    ="Hmph! Dikirain aku yang salah!"
lang_onboarding_text_17    ="Ketuk disini untuk lihat objektif kamu"
lang_onboarding_text_18    ="Iya! Saat itu aku terjebak di mesin traktor. Ada yang menjebakkan aku disitu."
lang_onboarding_text_19    ="Ketuk mesin traktor untuk selesaikan objektif."
lang_onboarding_text_20    ="Kamu terjebak di mesih traktor? Dan bannya dikempeskan juga"
lang_onboarding_text_21    ="Ketuk ban kempes untuk selesaikan objektif"
lang_onboarding_text_22    =""
# Meta    =""
lang_find_object    ="Cari item berikutnya:"
lang_btn_agree    ="Setuju"
lang_not_enough_star    ="Bintang kurang"
lang_not_enough_star_ins    ="Kamu tidak punya Bintang untuk membuka puzzle pecahan ini. Main sekarang untuk dapat Bintang."
lang_chapter    ="Bab"
lang_open    ="Buka"
lang_offer_title_0    ="Gerak eksplorasi"
lang_roll    ="Putar"
lang_more_heart    ="Tambah hati"
lang_ads_upgrade    ="Tingkatkan"
lang_sugest_0    ="Panduan"
lang_sugest_1    ="Game ini cukup sulit. Booster ini mungkin membantu"
lang_sugest_2    ="Gunakan"
lang_setting    ="Pengaturan"
lang_sound    ="Suara"
lang_music    ="Musik"
lang_help    ="Bantuan"
lang_syn_progress    ="Progress Mencari!"
lang_syn_progress_0    ="Kamu mau menggunakan progress game dari perangkatmu yang lain?"
lang_syn_progress_1    ="Progress sekarang"
lang_syn_progress_2    ="Server"
lang_syn_progress_3    ="Level"
lang_syn_progress_4    ="Gold"
lang_syn_progress_5    ="Pilih"
lang_confirm_link    ="Konfirm menyambung Akun Tamu ke Akun Facebook?"
lang_meta_title    ="Teka-Teki"
lang_meta_tut_0    ="Buka foto - Cari Item"
lang_meta_tut_1    ="Menang game dan kumpulkan bintang\nBuka pecahan puzzle dan cari item\Selesaikan misi untuk dapat hadiah hebat"
lang_meta_tut_2    ="Menang Game"
lang_meta_tut_3    ="Buka Foto"
lang_meta_tut_4    ="Cari"
lang_meta_tut_5    ="Dapat Hadiah"
lang_meta_tut_6    ="Gerakan Eksplorasi"
lang_offer_content_1    ="Dapat lagi"
lang_offer_content_2    ="Bagasi Jalan-Jalan"
lang_offer_content_3    ="Promosi berakhir dalam:"
lang_more_heart_1    ="Lebih banyak Hati!"
lang_next_heart    ="Hati berikutnya:"
lang_hammer_tut    ="Palu Godam bisa hancurkan baris dan kolom apapun tanpa menggunakan giliran"
lang_buy    ="Beli"
lang_help_heart    ="Minta Hati"
lang_shop_caution    ="*Catat: Kamu dapat hadiah sesuai nilai kartu"
lang_tab_shop    ="Toko"
lang_tab_meta    ="Buku Harian Perjalanan"
lang_tab_home    ="Rumah"
lang_tab_rank    ="Ranking"
lang_tab_setting    ="Setting"
lang_collect    ="Dapat"
lang_meta_noti_0    ="Kamu belum buka foto ini"
lang_meta_noti_1    ="Selesaikan foto ini untuk buka yang baru!"
lang_rating_0    ="Kemasukan"
lang_rating_1    ="Kirim"
lang_touch_to_ignore    ="Ketuk untuk skip"
lang_touch_to_skip    ="Sentuh untuk lanjut"
lang_touch_to_continue    ="Buku"
lang_element_1    ="Gelas"
lang_element_2    ="Roket"
lang_pu_1    ="Misil"
lang_pu_2    ="Pecahan Maha Karya"
lang_pu_3    ="Bom"
lang_pu_4    ="Sentuh untuk buka Paket"
lang_delete    =""
lang_restore    =""
lang_delete_1    =""
lang_delete_2    =""
lang_delete_3    =""
lang_touch_to_open    =""
touch_to_puzzle    =""
lang_remain    =""
lang_touch_to_input    =""
lang_error    =""
lang_error_syn    =""
lang_next_picture    =""
lang_shop_g_iap_pack11    =""
lang_shop_g_iap_pack12    =""
lang_shop_g_iap_pack7    =""
lang_shop_g_iap_pack8    =""
lang_shop_g_iap_pack9    =""
lang_shop_g_iap_pack10    =""
lang_gc    ="Gift-Code"
lang_gcnote    ="Theo dõi Fanpage và tham gia các sự kiện để nhận nhiều gift-code giá trị"
lang_gcip    ="Nhập code tại đây"
GC_ERR_1    ="Thất bại"
GC_ERR_3    ="Gift-Code không tồn tại"
GC_ERR_4    ="Gift-Code đã hết thời hạn sử dụng"
GC_ERR_5    ="Gift-Code đã hết số lượng sử dụng"
GC_ERR_6    ="Gift-Code đã được sử dụng"
GC_HELP_1    ="Bạn phải nhập Gift-Code trước đã"
lang_fanpage    ="Fanpage"
lang_shop_g_atm_pack_6    ="Paket Persiapan"
lang_syn    =""
lang_alert_guest_link_fb    =""
lang_bossrun_title    =""
lang_bossrun_play    =""
lang_bossrun_wait_0    =""
lang_bossrun_wait_1    =""
lang_bossrun_passed_level    =""
lang_bossrun_wait_level    =""
lang_bossrun_boss_1    =""
lang_bossrun_boss_2    =""
lang_bossrun_boss_3    =""
lang_bossrun_boss_4    =""
lang_bossrun_boss_5    =""
lang_bossrun_boss_6    =""
lang_bossrun_boss_intro_1    =""
lang_bossrun_boss_intro_2    =""
lang_bossrun_boss_intro_3    =""
lang_bossrun_boss_intro_4    =""
lang_bossrun_boss_intro_5    =""
lang_bossrun_boss_intro_6    =""
lang_bossrun_boss_cleared_1    =""
lang_bossrun_boss_cleared_2    =""
lang_bossrun_boss_cleared_3    =""
lang_bossrun_boss_cleared_4    =""
lang_bossrun_boss_cleared_5    =""
lang_bossrun_boss_cleared_6    =""
lang_bossrun_info    =""
lang_bossrun_hidden    =""
lang_bossrun_boss_info_1    =""
lang_bossrun_boss_info_2    =""
lang_bossrun_boss_info_3    =""
lang_bossrun_boss_info_4    =""
lang_bossrun_boss_info_5    =""
lang_bossrun_boss_info_6    =""
lang_bossrun_help_heart_des    =""
lang_bossrun_help_heart_title    =""
lang_bossrun_quest    =""
lang_bossrun_takedown_boss    =""
lang_bossrun_boss_des_1_1    =""
lang_bossrun_boss_des_1_2    =""
lang_bossrun_boss_des_1_3    =""
lang_bossrun_boss_des_1_4    =""
lang_bossrun_boss_des_1_5    =""
lang_bossrun_boss_lose_1_1    =""
lang_bossrun_boss_lose_1_2    =""
lang_bossrun_boss_lose_1_3    =""
lang_bossrun_boss_lose_1_4    =""
lang_bossrun_boss_lose_1_5    =""
lang_bossrun_boss_des_2_1    =""
lang_bossrun_boss_des_2_2    =""
lang_bossrun_boss_des_2_3    =""
lang_bossrun_boss_des_2_4    =""
lang_bossrun_boss_des_2_5    =""
lang_bossrun_boss_lose_2_1    =""
lang_bossrun_boss_lose_2_2    =""
lang_bossrun_boss_lose_2_3    =""
lang_bossrun_boss_lose_2_4    =""
lang_bossrun_boss_lose_2_5    =""
lang_bossrun_boss_des_3_1    =""
lang_bossrun_boss_des_3_2    =""
lang_bossrun_boss_des_3_3    =""
lang_bossrun_boss_des_3_4    =""
lang_bossrun_boss_des_3_5    =""
lang_bossrun_boss_lose_3_1    =""
lang_bossrun_boss_lose_3_2    =""
lang_bossrun_boss_lose_3_3    =""
lang_bossrun_boss_lose_3_4    =""
lang_bossrun_boss_lose_3_5    =""
lang_bossrun_boss_des_4_1    =""
lang_bossrun_boss_des_4_2    =""
lang_bossrun_boss_des_4_3    =""
lang_bossrun_boss_des_4_4    =""
lang_bossrun_boss_des_4_5    =""
lang_bossrun_boss_lose_4_1    =""
lang_bossrun_boss_lose_4_2    =""
lang_bossrun_boss_lose_4_3    =""
lang_bossrun_boss_lose_4_4    =""
lang_bossrun_boss_lose_4_5    =""
lang_bossrun_boss_des_5_1    =""
lang_bossrun_boss_des_5_2    =""
lang_bossrun_boss_des_5_3    =""
lang_bossrun_boss_des_5_4    =""
lang_bossrun_boss_des_5_5    =""
lang_bossrun_boss_lose_5_1    =""
lang_bossrun_boss_lose_5_2    =""
lang_bossrun_boss_lose_5_3    =""
lang_bossrun_boss_lose_5_4    =""
lang_bossrun_boss_lose_5_5    =""
lang_bossrun_boss_des_6_1    =""
lang_bossrun_boss_des_6_2    =""
lang_bossrun_boss_des_6_3    =""
lang_bossrun_boss_des_6_4    =""
lang_bossrun_boss_des_6_5    =""
lang_bossrun_boss_lose_6_1    =""
lang_bossrun_boss_lose_6_2    =""
lang_bossrun_boss_lose_6_3    =""
lang_bossrun_boss_lose_6_4    =""
lang_bossrun_boss_lose_6_5    =""
lang_bossrun_boss_stage_1_1    =""
lang_bossrun_boss_stage_1_2    =""
lang_bossrun_boss_stage_1_3    =""
lang_bossrun_boss_stage_1_4    =""
lang_bossrun_boss_stage_1_5    =""
lang_bossrun_boss_stage_2_1    =""
lang_bossrun_boss_stage_2_2    =""
lang_bossrun_boss_stage_2_3    =""
lang_bossrun_boss_stage_2_4    =""
lang_bossrun_boss_stage_2_5    =""
lang_bossrun_boss_stage_3_1    =""
lang_bossrun_boss_stage_3_2    =""
lang_bossrun_boss_stage_3_3    =""
lang_bossrun_boss_stage_3_4    =""
lang_bossrun_boss_stage_3_5    =""
lang_bossrun_boss_stage_4_1    =""
lang_bossrun_boss_stage_4_2    =""
lang_bossrun_boss_stage_4_3    =""
lang_bossrun_boss_stage_4_4    =""
lang_bossrun_boss_stage_4_5    =""
lang_bossrun_boss_stage_5_1    =""
lang_bossrun_boss_stage_5_2    =""
lang_bossrun_boss_stage_5_3    =""
lang_bossrun_boss_stage_5_4    =""
lang_bossrun_boss_stage_5_5    =""
lang_bossrun_boss_stage_6_1    =""
lang_bossrun_boss_stage_6_2    =""
lang_bossrun_boss_stage_6_3    =""
lang_bossrun_boss_stage_6_4    =""
lang_bossrun_boss_stage_6_5    =""
lang_inbox_title    =""
lang_inbox_tab_noti    =""
lang_inbox_tab_gift    =""
lang_inbox_no_mail_0    =""
lang_inbox_no_mail_1    =""
lang_claimed    =""
lang_inbox_delete_all    =""
lang_inbox_read_all    =""
lang_inbox_claim    =""
lang_inbox_unread    =""
lang_inbox_not_received    =""
lang_inbox_seen    =""
lang_inbox_expired    =""
lang_inbox_time_expire    =""
lang_inbox_err_1001    =""
lang_inbox_err_1002    =""
lang_btn_reopen    =""
lang_alert_reload_ask    =""
# Event Launching    =""
lang_launching_title    =""
lang_launching_step    =""
lang_launching_guide    =""
lang_launching_step_unlocked    =""
lang_launching_remain    =""
lang_days    =""
lang_DONE    =""
lang_done_today    =""
lang_launching_hint_1    =""
lang_launching_hint_2    =""
lang_launching_hint_3    =""
lang_launching_error_1    =""
lang_launching_error_2    =""
lang_launching_error_3    =""
lang_launching_error_4    =""
lang_launching_error_5    =""
RESOURCE_ITEM_DES_0    =""
RESOURCE_ITEM_DES_1    =""
RESOURCE_ITEM_DES_2    =""
RESOURCE_ITEM_DES_3    =""
RESOURCE_ITEM_DES_4    =""
RESOURCE_ITEM_DES_6    =""
RESOURCE_ITEM_DES_30    =""
RESOURCE_ITEM_DES_31    =""
RESOURCE_ITEM_DES_32    =""
RESOURCE_ITEM_DES_33    =""
RESOURCE_ITEM_DES_34    =""
RESOURCE_ITEM_DES_35    =""
RESOURCE_ITEM_DES_40    =""
RESOURCE_ITEM_DES_41    =""
RESOURCE_ITEM_DES_42    =""
RESOURCE_ITEM_DES_50    =""
RESOURCE_ITEM_DES_51    =""
RESOURCE_ITEM_DES_52    =""
